id	genus	specificepithet	status
1	Abronia	latifolia	native
2	Abronia	maritima	native
3	Abronia	umbellate	native
4	Acacia	dealbata	introduced
5	Acacia	melanoxylon	introduced
6	Acer	macrophyllum	native
7	Achillea	millefolium	native
8	Achnatherum	diegonense	native
9	Achyrachaena	mollis	native
10	Acourtia	microcephala	native
11	Adenostoma	fasciculatum	native
12	Adiantum	aleuticum	native
13	Adiantum	capillus-veneris	native
14	Adiantum	jordanii	native
15	Aegilops	cylindrical	introduced
16	Agave	Americana	introduced
17	Agoseris	apargioides	native
18	Agoseris	grandiflora	native
19	Agoseris	heterophylla	native
20	Agrostis	stolonifera	introduced
21	Agrostis	viridis	introduced
22	Albizia	lophantha	introduced
23	Alcea	rosea	introduced
24	Allium	lacunosum	native
25	Allium	praecox	native
26	Amaranthus	albus	introduced
27	Amaranthus	blitoides	native
28	Amaranthus	deflexus	introduced
29	Amaranthus	powellii	native
30	Amaryllis	belladonna	introduced
31	Ambrosia	acanthicarpa	native
32	Ambrosia	chamissonis	native
33	Ambrosia	psilostachya	native
34	Amsinckia	menziesii	native
35	Amsinckia	meziesii	native
36	Amsinckia	spectabilis	native
37	Anagallis	arvensis	introduced
38	Andropogon	glomeratus	native
39	Anemopsis	californica	native
40	Anthemis	cotula	introduced
41	Antirrhinum	kelloggii	native
42	Antirrhinum	multiflorum	native
43	Antirrhinum	nattallianum	native
44	Aphanes	occidentalis	native
45	Aphanisma	blitoides	native
46	Apiastrum	angusifolium	native
47	Apium	graveolens	introduced
48	Arabis	glabra	native
49	Arabis	hoffmannii	native
50	Arbutus	menziesii	native
51	Arctostaphylos	confertiflora	native
52	Arctostaphylos	insularis	native
53	Arctostaphylos	tomentosa	native
54	Arctostaphylos	viridissima	native
55	Aristida	adscensionis	native
56	Armeria	maritima	native
57	Arostis	pallens	native
58	Arrostis	exarata	native
59	Artemisia	californica	native
60	Artemisia	douglasiana	native
61	Artemisia	nesiotica	native
62	Artostaphylos	tomentosa	native
63	Arundo	donax	introduced
64	Asclepias	fascicularis	native
65	Aspidotis	californica	native
66	Aster	chilensis	native
67	Aster	radulinus	native
68	Aster	subulatus	native
69	Astragalus	curtipes	native
70	Astragalus	didymocarpus	native
71	Astragalus	gambelianus	native
72	Astragalus	miguelensis	native
73	Astragalus	traskiae	native
74	Athyrium	felix-femina	native
75	Athysanus	pusillus	native
76	Atriplex	argentea	native
77	Atriplex	coulteri	native
78	Atriplex	lentiformis	native
79	Atriplex	leucophylla	native
80	Atriplex	pacifica	native
81	Atriplex	semibaccata	introduced
82	Atriplex	serenana	native
83	Atriplex	triangularis	introduced
84	Atriplex	watsonii	native
85	Avena	barbata	introduced
86	Avena	fatua	introduced
87	Avena	sativa	introduced
88	Baccharis	douglasii	native
89	Baccharis	emoryi	native
90	Baccharis	pilularis	native
91	Baccharis	plummerae	native
92	Baccharis	salicifolia	native
93	Bajada	lupine	native
94	Beach	primrose	native
95	Berberis	pinnata	native
96	Berula	erecta	native
97	Beta	vulgaris	introduced
98	Black	cottonwood	native
99	Bloomeria	crocea	native
100	Bortaderia	selloana	introduced
101	Boschniakia	strobilacea	native
102	Bowlesia	incana	native
103	Brachypodium	distachyon	introduced
104	Brassica	nigra	introduced
105	Brassica	rapa	introduced
106	Brickellia	californica	native
107	Brodiaea	jolonensis	native
108	Brome	fescue	native
109	Bromus	arizonicus	native
110	Bromus	carinatus	introduced
111	Bromus	carinatus	native
112	Bromus	diandrus	introduced
113	Bromus	laevipes	introduced
114	Bromus	madritensis	introduced
115	Bromus	stamineus	introduced
116	Cakile	edentula	introduced
117	Cakile	maritima	introduced
118	Calamagrostis	rubescens	native
119	Calandrinia	breweri	native
120	Calandrinia	ciliate	native
121	Calandrinia	maritima	native
122	Calochortus	albus	native
123	Calochortus	catalinae	native
124	Calochortus	luteus	native
125	Calyptridium	monandrum	native
126	Calystegia	macrostegia	native
127	Calystegia	soldanella	native
128	Camissonia	californica	native
129	Camissonia	cheiranthifolia	native
130	Camissonia	hirtella	native
