No,Island,S_low,S_mt,A_mi2,L_ft,d_mi
1,Bougainville,82,16,3317,8500,
2,Guadalcanal,79,23,2039,8028,
3,Ysabel,71,3,1581,4100,
4,Choiseul,70,3,1145,3180,
5,Buka,63,0,236,1318,
6,Nggela (Florida),61,0,142,1312,
7,Shortland (Alu),58,0,89.5,676,
8,Fauro,51,0,27.4,1926,
9,Vatilau (Buena Vista),41,0,5.4,990,
10,Nusave,35,0,0.206,230,
11,Bagora,22,0,0.1263,200,
12,Nugu,9,0,0.0577,0,
13,Samarai,19,0,0.0351,0,6.7 (6)
14,New,15,0,0.0273,0,
15,Dalakalonga,10,0,0.0257,128,
16,Elo,14,0,0.0211,50,
17,Kosha,13,0,0.0199,30,
18,Kukuvulu,11,0,0.0156,100,
19,Tapanu,13,0,0.0062,0,
20,Kanasata,6,0,0.0035,50,
21,Nameless,8,0,0.0027,0,
22,NewGeorgia,65,1,789,3300,
23,Kolombangara,65,15,272,5800,
24,Vang-unu,62,5,210,3686,
25,Gatukai,55,3,42,2912,
26,Wana Wana,56,0,26.5,262,
27,Nusalavata,9,0,0.032,0,
28,Kundu Kundu,12,0,0.0187,0,
29,Vella Lavella,65,1,247,2600,
30,Ganonga,53,3,55,2800,
31,Rendova,61,4,147,3488,
32,Tetipari,56,0,47,1330,
33,Malaita,69,7,1663,4200,
34,San Cristobal Makira),69,6,1193,3410,
35,Pavuvu & Banika (Russells),45,0,68,1780,28.8 (2)
36,Mono (Treasury),43,0,28.1,1165,17.8 (7)
37,Ugi,50,0,16.3,670,
38,Nissan,29,0,14.3,110,38.9 (5)
39,Gizo,56,0,13.6,654,
40,Savo,37,0,11.8,1588,8.4 (2)
41,Santa Anna,46,0,5.66,520,
42,Simbo,43,0,5,1100,
43,Three Sisters,32,0,4.28,250,12.2 (34)
44,Santa Catalina,38,0,1.91,320,
45,Borokua (Murray),13,0,1.56,1181,36.4 (25)
46,Kicha,15,0,0.044,0,
47,Rennell,42,0,264,504,104.4 (34)
48,Bellona,20,0,7.62,250,97.6 (2)
49,Ongtong Java,9,0,3.69,0,147.0 (3)
50,Sikaiana,6,0,0.5,0,108.5 (33)
