"family"	"genus"	"specificepithet"	"stateprovince"	"county"	"locality"	"uuid"	"count"
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island: mouth of horse beach cyn, which is first cyn e of china pt"	"0d27a6d3-82ee-4b5b-a942-3d54a4107b29"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island: mouth of horse beach canyon which is first canyon east of china point"	"1b2b2991-76d2-4a93-97ed-02ca28e92369"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"pyramid cove, san clemente island"	"26934b2d-231d-4f34-8463-989dc2fbeb8b"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"growing on the beach at pyramid cove. san clemente island."	"47cd1a07-cadd-407e-a118-7e48c2a8f169"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island."	"4ce63262-6622-417b-ada3-d72bc05f7c57"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island: sandy beach behind northwest harbor"	"724905ca-a7d5-43cb-a4e3-e35bf5a56081"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island: sandy beach, pyramid cove"	"72545282-572e-49e3-9a65-bd64e5673222"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island, growing on sand dune below west end of runway at sherman field, east of west cove."	"74c14f1a-7ea5-4bab-8b5d-d252a03296fc"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island; pyramid cove."	"80800d20-4a3c-4231-b1ea-fe37b1e06a29"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island"	"818d847b-e7b1-429b-9296-a3d23e6defdf"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island: beach behind northwest harbor"	"96d84884-353f-44b4-9b59-2673852a0e2d"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island: north head; wnw of the new landing field"	"9954e428-83a2-41e4-a4f9-0d9dad08558b"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island: sandy area n of w end of airstrip"	"a2c52eb1-f4d9-4038-bd8d-ae3ed2ab1b78"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"nw end of san clemente island"	"aa6ff379-36b5-483a-aabc-3cf5e6bd9200"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"nw end of san clemente island san clemente island"	"aec223fb-681b-453d-85b2-2edbc2ff6c08"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island"	"b150f3a2-934a-48b2-b790-8c5722d707d6"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island. west dunes along road to s end of dunes next to ocean."	"cd1885b9-f1a3-4652-bd6d-974ee4cad42e"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"beach behind northwest harbor; san clemente island"	"cedd7044-07a7-4b4c-8058-638b1b70a4d3"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"beach, smuggler\'s cove"	"d21477d1-7316-4f44-a0d6-b8982facf247"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island: north head; wnw of the new landing field"	"d5221906-ddbe-4d6f-a144-5fba50013bfa"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island: large beach dunes near wall 2"	"e3594545-1a1e-45d9-bebf-0abe60cde9d9"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island: pyramid cove at s end of island."	"f52a0d0e-6869-4fbe-b855-09a68565947d"	23
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"san clemente island; pyramid cove and south end of island."	"fe80ca7a-17f6-4fe2-b3ec-1b73873734a0"	23
"asteraceae"	"achillea"	"millefolium"	"california"	"los angeles"	"san clemente island: wilson cove"	"2b4f4e20-4b50-4cb6-9b37-5c6bda15e772"	6
"asteraceae"	"achillea"	"millefolium"	"california"	"los angeles"	"1 mi s wilson cove; san clemente island"	"59094b20-35e8-4424-ae78-44a18d9db18d"	6
"asteraceae"	"achillea"	"millefolium"	"california"	"los angeles"	"san clemente island: mosquito harbor"	"5b0e9be6-abda-48f1-9866-48383e69b078"	6
"asteraceae"	"achillea"	"millefolium"	"california"	"los angeles"	"channel islands san clemente island: c. 30 m ene of intersection of new lemon tank road and main n-s road"	"6f5f2269-2701-46af-bf70-57f24b789e68"	6
"asteraceae"	"achillea"	"millefolium"	"california"	"los angeles"	"san clemente island: 20-40 meters ene of the intersection of the new lemon tank road and main n-s island access road"	"77be9558-ad77-4fdb-b657-21e632eb8c3d"	6
"asteraceae"	"achillea"	"millefolium"	"california"	"los angeles"	"san clemente island"	"ae132678-d4d4-47e1-b5fb-fd69c41ae16b"	6
"asteraceae"	"achyrachaena"	"mollis"	"california"	"los angeles"	"san clemente island, terrace between the main stem of horse beach canyon and the main westerly stem of chenetii canyon. 3970 ft nnw of slope triangulation point (781-ft) and 5570 ft wsw of 1135-ft tri. pt. near �\'chenity&iacute;."	"4345422e-3012-4e29-bdce-6275baf0ce99"	1
"rosaceae"	"adenostoma"	"fasciculatum"	"california"	"los angeles"	"san clemente island: head of horse cyn"	"641bfc7f-f465-4f85-889d-7bd51096ff3a"	5
