"family"	"genus"	"specificepithet"	"stateprovince"	"county"	"locality"	"uuid"	"count"
"nyctaginaceae"	"abronia"	"latifolia"	"california"	"santa barbara"	"san miguel island: san miguel island"	"b1d028a9-fc34-45de-9b7a-834dd3e52aa6"	4
"nyctaginaceae"	"abronia"	"latifolia"	"california"	"santa barbara"	"san miguel island"	"b2e9aac9-dc5c-42fb-ba8f-2af16d4955c0"	4
"nyctaginaceae"	"abronia"	"latifolia"	"california"	"santa barbara"	"san miguel island: san miguel island"	"d1308b93-2e47-4bb0-88ce-6b1dd9dfc592"	4
"nyctaginaceae"	"abronia"	"latifolia"	"california"	"santa barbara"	"san miguel island."	"ea7ff7df-f59b-49b6-bda2-6ae883643be0"	4
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island"	"014334bd-9feb-47ff-9a27-547863086c3c"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island: just above high tide line at mouth of cyn del mar"	"09ba0bdf-ba02-451e-bde7-1b18fbca5e86"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island: sandy bank on the cyn slope, san miguel island"	"0b606d76-5eb5-4ea3-bd3d-6910fbbfc4e1"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island."	"15487cbf-ba81-4073-a14e-55ab4dc8762f"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island. cuyler harbor."	"190d1c53-e930-4ffd-a456-7af9faf131b4"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island. cuyler harbor."	"1f2a49f8-8949-4933-a4b0-c530ba300b3c"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island."	"2250bffe-b2e5-477b-aee7-3cc2e659a9f6"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"cardwell point san miguel isl. (base of \"sand spit\"); channel isl.\'s, , cardwell point"	"2b90ed6b-1c25-4030-b4d3-3c0a546a7d22"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island; dune sand at cuyler harbor."	"4e772e42-1cf8-41f7-bf09-db9740c19251"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island: san miguel island"	"54a315e6-96b6-4f1f-a982-e9d11a1a9776"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island;willow canyon, 1.0 mile southeast of old ranch house."	"585e67e4-105b-4fb4-ab6e-6983ff5e0b2b"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island: just above high tide line at mouth of cyn del mar"	"58c03d37-ddf0-4c2c-b04a-f35551a52a0f"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island: base of sand spit at cardwell pt"	"5b50fd87-1b6b-4daa-adce-59971cf37698"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island"	"72dcdd38-b7e6-4d30-9388-9c88c4c25b3d"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"1 mi. s.e. of the old ranch house willow canyon; channel isl.\'s, san migeul isl., willow canyon"	"76666460-a9bf-44e6-94bf-77fc31122292"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island"	"864d0230-cc80-4517-b0e4-ac83dc9a059d"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island. mouth of canyon del mar."	"87f80fea-a0d8-4777-b219-61114f066bc7"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island: mouth of willow cyn"	"923b045a-a01f-4a89-be25-aab4bdb25ef8"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island"	"98c06dba-45ca-4916-8e5a-230fe4d8042f"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island."	"99ec4e1c-608e-4b6a-976f-d6a44cb0b196"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island: cuyler harbor"	"a3dfb7e2-59c8-404f-a279-2b7519b961c3"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island: stabilized dune sand at cuyler harbor"	"cddc276e-1491-4cbd-a555-e3ca00f3609d"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island: on sea dunes at cuyler harbor"	"d9bbd79d-a4f2-4963-abd0-caa12537c708"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"channel islands san miguel island, near cuyler harbor"	"e4bc180b-ff28-4bc1-b6cd-3c244573738c"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island. mouth of canyon del mar."	"e5cea512-f175-44e5-b2e6-a5c5b62f9e1f"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"sandy hollow off prince island channel islands, san miguel island, prince island"	"f6a9c1f6-1dde-4403-80af-8c93cab1aecc"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"san miguel island. point bennett"	"f87816de-3445-49a0-bc0b-c3e9c1ad818c"	28
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"base of cliff, north end of island. channel islands, san miguel island"	"fbd79892-6e44-4e9a-a51f-d1d609e08e7a"	28
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"san miguel island: san miguel island"	"0bbc2bc8-67e5-4c40-92a3-e13ac89c3f4b"	29
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"san miguel island"	"0c5ba4ac-f9ff-42ea-aa6f-2c6f8e7dfbe6"	29
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"san miguel island, bottom of canyon del mar near old ranch house."	"0f0cd15d-4d95-464c-81c9-b985eedd103d"	29
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"san miguel island: willow cyn"	"1577039f-27b1-42a7-96bf-12b85e2df280"	29
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"san miguel island, near head of east fork of canyon del mar"	"1715e118-8afc-4a70-83b8-76cb6135bc64"	29
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"bottom of canyon del mar (near old ranch house, san miguel isl.); channel isl.\'s, san miguel isl., canyon del mar"	"2602a358-ca54-4be8-b6de-4c23fa24450e"	29
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"san miguel island."	"2a1841df-c8b7-4af4-aa89-864cb4f2acfa"	29
