"family"	"genus"	"specificepithet"	"stateprovince"	"county"	"locality"	"uuid"	"count"
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island. east of dutch harbor, southeast end of island"	"038434d9-118e-45a0-8e5d-2c6a18ce61af"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island. south of point 606, inland of road along the beach. south coast of the island."	"0517b88a-ab3b-425b-b6e8-f89669ba734d"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island. near ocean e of dutch harbor, se end of island"	"05b01555-44e1-4395-a716-a9627e0e7825"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island: e end of daytona beach, just e of barge landing"	"06bbc81c-3fd5-47b7-97e8-7860e0358d0b"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island; seal beach, northwest end of island."	"0e71db30-b308-49f8-b009-883c08cb1bdf"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island. ne range marker poles, at top of coast bluffs, ca, 0.5 miles e of anchor point"	"1ea28542-2ed3-49f7-931f-688c160a3ca5"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island: dutch harbor"	"23c6b48a-3fcf-4f11-8a51-17fc4717cead"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island: top of coastal bluffs, ca. 0.5 mi e of anchor pt"	"24f66348-8c7c-4aa8-b477-38ce50b89a28"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island. below silver tank springs; 33&deg;15\'31\'\'n, 119&deg;32\'58\'\'w"	"2ade3406-b03d-476a-b16c-5b53ad7063b5"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island. e end of daytona beach, just e of barge landing"	"2d0040f9-8743-4cc0-bce9-783915e4b277"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island: base of the sand spit, e end of the island"	"2e69a83a-f569-425a-af5b-d33f9ea5637f"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island: sandy beach ca.0.4 mi w of base of sand spit, e of rocky jetty"	"30b96664-ed32-4510-8343-c8e20cfd671d"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island: sand spit and salina at extreme e end of island."	"3191297f-3a15-4e8e-8f36-ac86f604436a"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island; beach at base of sand spit, east end of island."	"3a0a1d2f-1506-4847-932b-41d814804816"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island. at the base of the sand spit, east end of the island."	"555871db-5cd0-477a-9cc0-df7d84f06c60"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island: nw end of island, just inland from w end of tender beach"	"60169cb2-2126-4d3e-8cfd-a4b9a1ff0f9b"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island: sand dunes, ranch landing"	"66a4b162-7144-4a64-8628-2b48dc0a7546"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island"	"6bd107f9-2fad-402a-a300-86c24a5c7a5b"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island. south of point 606, inland of road along the beach. south coast of the island."	"7bdcdedf-7713-43d4-9ac6-df51172acb38"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"just back of beach, san nicolas island"	"803929ea-91c8-4d03-be86-457ad8afc514"	35
"nyctaginaceae"	"abronia"	"maritima"	"california"	"ventura"	"san nicolas island. ranch landing"	"820f1826-fac3-459b-babc-f2e2807d1b33"	35
