"family"	"genus"	"specificepithet"	"stateprovince"	"county"	"locality"	"uuid"	"count"
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island. landing cove."	"129de1ef-71eb-4d97-bdb8-08c1b6d12e9d"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island: near center of middle cyn"	"12e900c5-284d-45f6-9d07-2ed6e6b2f492"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island: north pk"	"3bc6319a-07e8-4557-a3e3-6fbe7cd9c9c5"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island: west end"	"4ce72450-61ac-4318-9490-2aaa887a7df4"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island"	"5361887d-c253-413e-850c-9ed6e9a1af8f"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island: just above landing platform, landing cove"	"538ecade-de1e-4eb9-a910-d80f10a3bca2"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island. east side."	"7675dea3-1ce6-460b-847f-8bb640fc1945"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island: n slope of signal pk"	"7e3d2511-9c03-4b55-be93-4b664c17a5ae"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island: landing cove area"	"83560566-e7be-4a4e-833a-21c318d05f47"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island"	"98f2f2fd-78c9-47c8-a5b0-69d954de3696"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island; channel islands"	"be9a2062-c9a5-43ee-a352-aef0184af1ab"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island: landing cove area"	"c3416fda-9150-47ef-90f3-5ee1576b15f2"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island."	"cc9d34d5-f2ba-42ff-b71c-a0c4b085db83"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"los angeles"	"santa barbara island"	"d2d1e6aa-45d8-435b-9472-dd73ca83fc21"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island: east side"	"e0e0ef09-7cbe-438d-9c05-4c2287cf1499"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"los angeles"	"santa barbara island"	"ef465e92-9664-478f-9d64-3ac421f6c79e"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island: santa barbara island"	"efc7b5bb-6168-446a-a9c0-ae75cc182b65"	19
"asteraceae"	"achillea"	"millefolium"	"california"	"santa barbara"	"santa barbara island: n side of trail on the e slope of north pk, just below summit"	"f13522b5-f8ef-445a-a374-3d84ec380fcf"	19
