"family"	"genus"	"specificepithet"	"stateprovince"	"county"	"locality"	"uuid"	"count"
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"santa catalina island: little harbor"	"1283a086-a882-4d53-9992-4c4e9b5ee5a5"	24
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"santa catalina island. little harbor"	"1e917209-ef0b-4d30-916d-4ff77c26dc8e"	24
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"santa catalina island, little harbor"	"26899e36-23b6-4dab-bec6-28c8088881db"	24
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"santa catalina island: n beach of little harbor"	"32df41be-ca65-4621-a2be-c4a25feb360f"	24
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"little harbor, santa catalina island."	"39fbabaa-3679-490e-bfb2-a04473663548"	24
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"santa catalina island; little harbor."	"4a7a803c-4ffe-4471-853a-e34db767869c"	24
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"santa catalina island: little harbor"	"544cab55-63ab-445a-ae8b-bde3b321fb2d"	24
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"santa catalina island: little harbor"	"54b62eba-e554-423c-8050-b7abe62b3e54"	24
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"santa catalina island: sand beach, little harbor"	"77eeb578-ef73-4cbd-8cf0-217d2a27077d"	24
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"santa catalina island: ben weston beach"	"7b809704-1f53-451b-88eb-6175d1a58793"	24
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"little harbor, santa catalina island."	"7ffb47c1-cc03-4069-9018-38adeb2b87c1"	24
"nyctaginaceae"	"abronia"	"maritima"	"california"	"los angeles"	"santa catalina island"	"90cd7a78-f2cf-4599-820c-8df8d1e1cb48"	24
