"family"	"genus"	"specificepithet"	"stateprovince"	"county"	"locality"	"uuid"	"count"
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island. beach at prisoners\' harbor"	"0082d8cf-68f9-45f4-82b0-a4cc0f123ede"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island: mouth of canada de los sauces, near s end of beach"	"04f876b8-5332-4ed4-b218-81203aa424ec"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island: beach, w end of santa cruz island"	"0633aa8a-bba6-4626-96f5-5ea1803006e5"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island: prisoners harbor, beach near the marsh at the mouth of cyn del puerto"	"06c3073f-159d-4f7d-9cd3-640a1942807b"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island; beach at mouth of canada de los sauces, near south end of beach."	"0db4ca8a-c022-4b1a-a041-0c5d559e4e15"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island. beach at mouth of canada de los sauces, near s end of beach"	"112a7cb9-c46d-4282-a89c-7ec75538ecf9"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island; on beach at prisoner\'s harbor on north side of the island."	"175c3043-b234-4347-83a6-27f98dceae8e"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa barbara county: santa cruz island. beach at mouth of canada de los sauces, near s end of beach"	"1dddfbc3-b5ef-4b32-9915-632f326ba253"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island: punta arena, w of malva real anchorage"	"2bbc6d60-8f84-4fc7-abf6-7f87c457d263"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island. prisoner\'s harbor"	"3db25cdb-12c9-40a4-96c2-22e334a4c62e"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"w end of santa cruz island"	"3f45a89f-f31c-4fa6-9502-b7d0fe430fba"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island: beach at prisoners harbor"	"4daa8188-8334-4dc1-abc0-b58563186695"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island. beach west of christi ranch."	"53351b7d-df23-4c20-b0a1-0e9209daab79"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island: west of christy ranch; on sand at christy beach just south of where the stream flows to the ocean"	"5e9a5d28-1878-4246-bde2-3568c8f64bc6"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island: upper edge of the beach just s of a rocky pt; mouth of cyn de los sauces"	"70a64cf7-53fa-4de3-badc-139db1c26888"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island. prisoner harbor."	"7e8515c7-37f6-413c-9559-d37a4a430bbd"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island: santa cruz island"	"818c336b-3ba5-43d2-ad3f-204acda4238a"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island: beach w of christi ranch"	"8a356ba4-3f71-487f-b8b7-198c22c39694"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island: beach, prisoners harbor"	"8d4c38ea-ebf4-4d0b-b187-9d68324e52e4"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island. christy ranch."	"985655ed-f786-49f0-a689-635c2dd5846f"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"fraser point, santa cruz island"	"9fc8f612-2a99-4b6f-b686-adc13bed5f33"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa cruz"	"santa cruz county: santa cruz island: above high tide line, near mouth of poso canyon"	"bb42a084-1aa5-4a7d-b541-4c20a901b0c6"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island-christy ranch"	"c7fa30cd-5eb6-44bf-acf7-e21c578e0bea"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa cruz"	"santa cruz county: santa cruz island"	"cd145e23-f77f-4b2f-90c3-b68fd7fa9906"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island. prisoners harbor on north side of the island"	"da248740-eb0c-4a6a-83f7-2cfe8f526587"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"beach at mouth of sauces canyon santa cruz island, sauces canyon"	"dc79471c-a247-4e14-ae27-ddc3bbca1e81"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island"	"e87a19af-052a-48fa-8375-75782c25a5d8"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island; prisoner\'s harbor."	"ee7cf247-c171-428d-8861-beaf220f28f2"	30
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa cruz island, prisoners\' harbor"	"ef7aad82-9d3d-4403-8084-68fab31d3f61"	30
