"family"	"genus"	"specificepithet"	"stateprovince"	"county"	"locality"	"uuid"	"count"
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: above northwest anchorage beechers bay."	"1b029e1c-b65a-4d77-9f33-2678914a8aea"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: just w of mouth of arlington cyn"	"22a40828-287c-4541-972e-fdec7d7cd775"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island. dunes east of torrey pines."	"25178609-1bc5-4c10-ba1a-a69ce843a8ab"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: just inland from mouth of bee cyn"	"31ae8a56-941f-412f-b951-57916d61ec1b"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: s of china camp corrals"	"35ba1987-9db1-49a5-bfd4-37a3f9871019"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: cluster pt, s of china camp"	"38b76427-7761-40fa-b1ca-85f0d312d095"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: beach near mouth of tecolote cyn"	"413fb49a-31ed-46d6-b187-2e576f20152b"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island. near china camp, w of arroyo mouth"	"531f96cc-cbf0-4d9c-b62f-0798f4b85087"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: sw side of island, between first and second canyons n of whetstone canyon"	"57ecd8c0-abaa-4520-909a-e3e515e1e2f7"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island. near old ranch, east of torrey pines."	"628136d1-0f4e-43aa-898b-4b8d97515461"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: beach at mouth of jolla vieja cyn"	"664a0bf5-540e-42c8-8c5d-c08e4bf9d3a5"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: near old ranch, e of torrey pines"	"6ceed072-c301-4572-baab-12f48b9abf8b"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island. north of the ranch."	"6ece22ce-2900-490a-81ca-02a21e52ed24"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"east of torrey pines, santa rosa island."	"77768101-6adf-49ec-8940-f8423d085ed5"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: near east point"	"8eb15ebe-54d9-4d4f-8e05-15604b511ccc"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island. near old ranch, east of torrey pines"	"916897ec-805f-4380-8a03-0168b86291b1"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: santa rosa island, sea bluff"	"990e706a-6bd9-44e3-aeb4-35d8912bfd62"	18
"nyctaginaceae"	"abronia"	"maritima"	"california"	"santa barbara"	"santa rosa island: coastal dunes between first and second cyns n of whetstone cyn"	"c721246c-209f-452b-bfbd-cecb11477aa3"	18
